trip_id,start_time,sunrise_date_time
2434,2013-05-16 01:52:07,2013-05-16 02:26:04
2435,2013-05-16 07:37:47,2013-05-16 02:26:05
2436,2013-05-17 01:20:37,2013-05-17 02:24:10
2437,2013-05-17 07:11:58,2013-05-17 02:24:10
2439,2013-05-18 01:57:30,2013-05-18 02:22:17
2440,2013-05-18 10:05:57,2013-05-18 02:22:17
2441,2013-05-19 01:30:28,2013-05-19 02:20:27
2442,2013-05-19 10:02:46,2013-05-19 02:20:27
2444,2013-05-20 01:54:29,2013-05-20 02:18:39
2449,2013-05-21 01:41:56,2013-05-21 02:16:53
2450,2013-05-21 17:18:11,2013-05-21 02:16:53
2451,2013-05-22 04:57:11,2013-05-22 02:15:11
2452,2013-05-22 14:32:04,2013-05-22 02:15:11
2453,2013-05-23 02:51:15,2013-05-23 02:13:31
2454,2013-05-24 13:07:47,2013-05-24 02:11:53
2455,2013-05-24 15:31:38,2013-05-24 02:11:56
2456,2013-05-25 01:33:51,2013-05-25 02:10:19
2457,2013-05-26 15:50:44,2013-05-26 02:08:49
2458,2013-05-27 04:33:22,2013-05-27 02:07:20
2460,2013-05-29 08:32:19,2013-05-29 02:04:34
2462,2013-06-07 09:08:32,2013-06-07 01:54:57
2464,2013-06-07 17:41:38,2013-06-07 01:54:57
2465,2013-06-08 12:55:45,2013-06-08 01:54:12
2467,2013-06-20 09:01:33,2013-06-20 01:50:40
2468,2013-06-20 16:51:25,2013-06-20 01:50:40
2469,2013-06-21 11:09:43,2013-06-21 01:50:51
2470,2013-06-22 11:44:05,2013-06-22 01:51:06
2471,2013-06-23 09:13:35,2013-06-23 01:51:24
2475,2013-07-12 00:45:58,2013-07-12 02:09:33
2477,2013-07-17 15:57:42,2013-07-17 02:17:28
2478,2013-07-18 14:22:29,2013-07-18 02:19:08
2480,2013-07-19 12:32:57,2013-07-19 02:20:50
2481,2013-07-20 14:05:02,2013-07-20 02:22:36
2482,2013-07-21 12:20:21,2013-07-21 02:24:22
2483,2013-07-21 16:01:09,2013-07-21 02:24:22
2484,2013-07-22 02:03:35,2013-07-22 02:26:11
2485,2013-07-22 15:33:27,2013-07-22 02:26:11
1943,2012-06-09 13:49:35,2012-06-09 01:53:21
1944,2012-06-10 07:11:07,2012-06-10 01:52:45
1945,2012-06-10 15:09:01,2012-06-10 01:52:45
1947,2012-06-12 07:02:05,2012-06-12 01:51:47
1950,2012-06-13 13:37:45,2012-06-13 01:51:24
1954,2012-06-14 13:29:25,2012-06-14 01:51:05
1957,2012-06-15 10:25:29,2012-06-15 01:50:50
1961,2012-06-16 11:03:53,2012-06-16 01:50:40
1962,2012-06-16 14:48:53,2012-06-16 01:50:40
1964,2012-06-17 04:30:00,2012-06-17 01:50:34
1966,2012-06-17 15:12:24,2012-06-17 01:50:34
1968,2012-06-18 02:31:53,2012-06-18 01:50:31
1969,2012-06-18 13:39:48,2012-06-18 01:50:32
1970,2012-06-19 02:28:40,2012-06-19 01:50:35
1971,2012-06-20 01:53:00,2012-06-20 01:50:42
1972,2012-06-21 09:12:01,2012-06-21 01:50:53
1973,2012-06-22 10:58:40,2012-06-22 01:51:12
1974,2012-06-23 15:27:21,2012-06-23 01:51:28
1975,2012-06-24 12:31:50,2012-06-24 01:51:53
1976,2012-06-24 16:35:16,2012-06-24 01:51:53
1977,2012-06-25 14:22:59,2012-06-25 01:52:21
1978,2012-06-26 00:16:49,2012-06-26 01:52:54
1980,2012-06-26 12:57:27,2012-06-26 01:52:53
1981,2012-06-27 13:33:52,2012-06-27 01:53:31
1982,2012-06-27 16:36:17,2012-06-27 01:53:30
1983,2012-06-28 00:49:24,2012-06-28 01:54:11
1984,2012-06-29 11:36:49,2012-06-29 01:54:55
1985,2012-06-30 00:47:59,2012-06-30 01:55:44
1986,2012-06-30 13:57:30,2012-06-30 01:55:45
1987,2012-07-01 01:04:09,2012-07-01 01:56:36
1989,2012-07-01 13:33:03,2012-07-01 01:56:36
1990,2012-07-02 00:49:48,2012-07-02 01:57:32
1992,2012-07-03 11:34:55,2012-07-03 01:58:31
1995,2012-07-04 10:41:17,2012-07-04 01:59:37
1996,2012-07-05 11:08:10,2012-07-05 02:00:42
1997,2012-07-06 12:09:45,2012-07-06 02:01:53
1999,2012-07-07 14:11:15,2012-07-07 02:03:04
2000,2012-07-08 13:52:58,2012-07-08 02:04:21
2001,2012-07-08 16:23:07,2012-07-08 02:04:20
2006,2012-07-10 12:29:39,2012-07-10 02:07:03
2009,2012-07-11 10:25:12,2012-07-11 02:08:27
2010,2012-07-11 16:37:39,2012-07-11 02:08:27
2013,2012-07-12 13:26:47,2012-07-12 02:09:55
2016,2012-07-13 10:57:23,2012-07-13 02:11:25
2020,2012-07-14 10:06:29,2012-07-14 02:12:58
2023,2012-07-16 13:24:18,2012-07-16 02:16:12
2055,2013-05-01 03:10:02,2013-05-01 02:58:49
2056,2013-05-02 02:06:34,2013-05-02 02:56:27
2057,2013-05-02 15:32:05,2013-05-02 02:56:26
2058,2013-05-03 12:21:02,2013-05-03 02:54:05
2059,2013-05-04 09:05:52,2013-05-04 02:51:46
2060,2013-05-05 10:29:32,2013-05-05 02:49:28
2061,2013-05-06 11:16:56,2013-05-06 02:47:12
2062,2013-05-07 02:24:58,2013-05-07 02:44:57
2063,2013-05-07 12:55:03,2013-05-07 02:44:57
2068,2013-05-10 13:00:19,2013-05-10 02:38:22
2069,2013-05-11 02:09:57,2013-05-11 02:36:15
2071,2013-05-12 01:36:22,2013-05-12 02:34:08
2072,2013-05-12 14:25:12,2013-05-12 02:34:09
2073,2013-05-13 01:40:36,2013-05-13 02:32:05
2075,2013-05-14 01:36:15,2013-05-14 02:30:03
2076,2013-05-14 17:36:01,2013-05-14 02:30:03
2078,2013-05-15 09:36:38,2013-05-15 02:28:03
2079,2013-05-16 13:42:27,2013-05-16 02:26:05
2080,2013-05-17 13:41:19,2013-05-17 02:24:10
2081,2013-05-18 12:24:57,2013-05-18 02:22:17
2082,2013-05-19 02:14:38,2013-05-19 02:20:27
2083,2013-05-19 18:23:39,2013-05-19 02:20:27
2084,2013-05-20 02:13:02,2013-05-20 02:18:39
2091,2013-05-21 16:21:32,2013-05-21 02:16:53
2092,2013-05-22 01:56:30,2013-05-22 02:15:11
2094,2013-05-22 17:37:09,2013-05-22 02:15:11
2095,2013-05-23 01:12:44,2013-05-23 02:13:31
2096,2013-05-23 16:47:37,2013-05-23 02:13:31
2097,2013-05-24 02:04:58,2013-05-24 02:11:54
2098,2013-05-24 17:12:37,2013-05-24 02:11:54
2099,2013-05-26 01:01:38,2013-05-26 02:08:48
2101,2013-05-27 13:25:08,2013-05-27 02:07:20
2102,2013-05-29 15:59:50,2013-05-29 02:04:34
2103,2013-05-30 13:19:45,2013-05-30 02:03:16
2104,2013-05-31 14:32:21,2013-05-31 02:02:00
2106,2013-06-01 09:26:59,2013-06-01 02:00:48
2107,2013-06-02 00:58:58,2013-06-02 01:59:41
2109,2013-06-03 14:00:38,2013-06-03 01:58:36
2110,2013-06-04 00:54:39,2013-06-04 01:57:36
